code,current,name,gender,function,category,organisation_code,organisation,organisation_long,disciplines,birth_date
2280365,TRUE,OBERMARK FUNKE Petra,Female,Judge,J,WAQU,World Aquatics,World Aquatics,['Artistic Swimming'],
2280366,TRUE,VEGA COUTO Marisol,Female,Judge,J,WAQU,World Aquatics,World Aquatics,['Artistic Swimming'],
2280367,TRUE,GRICAR Iva,Female,Judge,J,WAQU,World Aquatics,World Aquatics,['Artistic Swimming'],
2280368,TRUE,MUSSON Courtney,Female,Judge,J,WAQU,World Aquatics,World Aquatics,['Artistic Swimming'],
2280369,TRUE,KEUR Rynske,Female,Judge,J,WAQU,World Aquatics,World Aquatics,['Artistic Swimming'],
2281421,TRUE,COLOMBO Raffaele,Male,Referee,J,ITA,Italy,Italy,['Water Polo'],
2281422,TRUE,DAW Yehia,Male,Judge,J,EGY,Egypt,Egypt,['Diving'],
2281423,TRUE,DERVIEUX Sebastien,Male,Referee,J,FRA,France,France,['Water Polo'],
2281425,TRUE,FERRARI Alessia,Female,Referee,J,ITA,Italy,Italy,['Water Polo'],
2281427,TRUE,GILLESPIE Ross,Male,Referee,J,WAQU,World Aquatics,World Aquatics,['Marathon Swimming'],
2281428,TRUE,GOLOVAN Anatoliy,Male,Judge,J,UKR,Ukraine,Ukraine,['Diving'],
2281429,TRUE,GOMEZ PORDOMINGO David,Male,Referee,J,ESP,Spain,Spain,['Water Polo'],
2281430,TRUE,HODGERS Nicholas,Male,Referee,J,AUS,Australia,Australia,['Water Polo'],
2281432,TRUE,KIAMBATA Kimbu,Male,Referee,J,WAQU,World Aquatics,World Aquatics,['Marathon Swimming'],
2281433,TRUE,KOVACS-CSATLOS Tamas,Male,Referee,J,HUN,Hungary,Hungary,['Water Polo'],
2281434,TRUE,KUROSAKI Chisato,Male,Referee,J,JPN,Japan,Japan,['Water Polo'],
2281445,TRUE,ISNARD Adrien,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281448,TRUE,LEGRAND Olivier,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281449,TRUE,HORVAIS Azeline,Female,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281450,TRUE,MENDES Zelio,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281451,TRUE,CHARRIERE Fabien,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281452,TRUE,de CASTRO Miguel,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281454,TRUE,NIEL Maxime,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281455,TRUE,TORRE Pietro,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281456,TRUE,le CORVIC Frank,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281457,TRUE,DENIS Olivier,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281459,TRUE,de THY Morgane,Female,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281460,TRUE,TRANCHANT Sebastien,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281461,TRUE,CREPEL Stephane,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281462,TRUE,BRASSART Geoffrey,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281463,TRUE,AGESILAS Yael,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281466,TRUE,TANGUY Ludivine,Female,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281467,TRUE,RANCHAL Lilian,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281469,TRUE,PIETRASIK Theo,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281471,TRUE,GREUILLET Laurence,Female,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281472,TRUE,MAMERI Fahim,Male,Line Judge,J,FIVB,FIVB,International Volleyball Federation,['Beach Volleyball'],
2281520,TRUE,ZWI Noam,Male,Judge,J,WAQU,World Aquatics,World Aquatics,['Artistic Swimming'],
2281953,TRUE,OHME Frank,Male,Referee,J,GER,Germany,Germany,['Water Polo'],
2281954,TRUE,TOULOUDIS Nikolaos,Male,Judge,J,GRE,Greece,Greece,['Diving'],
2281955,TRUE,PEREZ Angel,Male,Judge,J,ESP,Spain,Spain,['Diving'],
2281956,TRUE,TOMLINSON Vicki,Female,Judge,J,GBR,Great Britain,Great Britain,['Diving'],
2281957,TRUE,LEE William,Male,Judge,J,SGP,Singapore,Singapore,['Diving'],
2281958,TRUE,MARGETA Boris,Male,Referee,J,SLO,Slovenia,Slovenia,['Water Polo'],
